Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_226_973,VDD,Metal1,561.2355,904.7510,4.999841
FILLER_226_925,VDD,Metal1,525.2800,905.5200,4.999841
FILLER_226_921,VDD,Metal1,523.9800,905.0875,4.999841
FILLER_226_891,VDD,Metal1,505.9600,905.5200,4.999849
FILLER_226_866,VDD,Metal1,491.9600,905.5200,4.999850
FILLER_226_862,VDD,Metal1,490.9400,905.0875,4.999850
FILLER_226_831,VDD,Metal1,472.6400,905.5200,4.999852
FILLER_226_823,VDD,Metal1,470.3465,904.9430,4.999852
FILLER_226_807,VDD,Metal1,463.7280,904.8280,4.999852
FILLER_226_772,VDD,Metal1,440.5400,905.0875,4.999846
FILLER_226_734,VDD,Metal1,418.0400,905.5200,4.999831
FILLER_226_732,VDD,Metal1,417.2000,905.5200,4.999831
FILLER_226_702,VDD,Metal1,400.1200,905.5200,4.999831
FILLER_226_700,VDD,Metal1,399.2800,905.5200,4.999831
FILLER_226_667,VDD,Metal1,380.8000,905.5200,4.999832
FILLER_226_648,VDD,Metal1,371.1000,905.0875,4.999881
FILLER_226_642,VDD,Metal1,366.5200,905.5200,4.999883
FILLER_226_640,VDD,Metal1,365.6800,905.5200,4.999883
FILLER_226_609,VDD,Metal1,348.3200,905.5200,4.999888
FILLER_226_605,VDD,Metal1,347.0200,905.0875,4.999888
FILLER_226_594,VDD,Metal1,339.6400,905.5200,4.999888
FILLER_226_559,VDD,Metal1,320.0400,905.5200,4.999888
FILLER_226_543,VDD,Metal1,315.8880,904.8280,4.999888
FILLER_226_537,VDD,Metal1,307.7200,905.5200,4.999888
FILLER_226_535,VDD,Metal1,306.8800,905.5200,4.999888
FILLER_226_527,VDD,Metal1,304.5865,904.9430,4.999888
FILLER_226_521,VDD,Metal1,299.9800,905.0875,4.999888
FILLER_226_457,VDD,Metal1,281.2750,904.7055,4.999888
FILLER_226_454,VDD,Metal1,261.2400,905.5200,4.999888
FILLER_226_452,VDD,Metal1,260.4000,905.5200,4.999888
FILLER_226_422,VDD,Metal1,243.3200,905.5200,4.999886
FILLER_226_420,VDD,Metal1,242.4800,905.5200,4.999886
FILLER_226_387,VDD,Metal1,224.9400,905.0875,4.999885
FILLER_226_358,VDD,Metal1,207.4800,905.5200,4.999886
FILLER_226_350,VDD,Metal1,205.4665,904.9430,4.999886
FILLER_226_317,VDD,Metal1,185.7400,905.0875,4.999893
FILLER_226_313,VDD,Metal1,182.5600,905.5200,4.999893
FILLER_226_283,VDD,Metal1,165.4800,905.5200,4.999894
FILLER_226_247,VDD,Metal1,145.6000,905.5200,4.999894
