Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_227_282,VSS,Metal1,166.3730,908.9780,0.000080
FILLER_227_278,VSS,Metal1,162.9600,909.4400,0.000072
FILLER_227_274,VSS,Metal1,160.9000,909.0910,0.000072
FILLER_227_258,VSS,Metal1,152.9330,908.9780,0.000071
FILLER_227_226,VSS,Metal1,141.5640,908.8420,0.000071
FILLER_227_220,VSS,Metal1,130.2000,909.4400,0.000071
FILLER_227_212,VSS,Metal1,127.1730,908.9780,0.000071
FILLER_227_206,VSS,Metal1,122.8200,909.0910,0.000071
FILLER_227_142,VSS,Metal1,103.4445,908.8020,0.000071
FILLER_227_136,VSS,Metal1,83.6200,909.0910,0.000071
FILLER_227_72,VSS,Metal1,64.2445,908.8020,0.000070
FILLER_227_66,VSS,Metal1,44.4200,909.0910,0.000070
FILLER_227_2,VSS,Metal1,25.0445,908.8020,0.000070
FILLER_226_1609,VSS,Metal1,908.3200,901.6000,0.000265
FILLER_226_1577,VSS,Metal1,898.1240,902.1975,0.000265
FILLER_226_1571,VSS,Metal1,887.2200,901.9485,0.000265
FILLER_226_1507,VSS,Metal1,867.8445,902.2375,0.000265
FILLER_226_1501,VSS,Metal1,848.0200,901.9485,0.000265
FILLER_226_1437,VSS,Metal1,828.6445,902.2375,0.000265
FILLER_226_1431,VSS,Metal1,808.8200,901.9485,0.000265
FILLER_226_1367,VSS,Metal1,789.4445,902.2375,0.000265
FILLER_226_1361,VSS,Metal1,769.6200,901.9485,0.000266
FILLER_226_1297,VSS,Metal1,750.2445,902.2375,0.000266
FILLER_226_1294,VSS,Metal1,731.6400,901.6000,0.000267
FILLER_226_1292,VSS,Metal1,730.8000,901.6000,0.000267
FILLER_226_1288,VSS,Metal1,728.7400,901.9485,0.000279
FILLER_226_1256,VSS,Metal1,718.3640,902.1975,0.000282
FILLER_226_1224,VSS,Metal1,692.4400,901.6000,0.000291
FILLER_226_1220,VSS,Metal1,690.6600,901.9485,0.000291
FILLER_226_1176,VSS,Metal1,665.8400,901.6000,0.000291
FILLER_226_1170,VSS,Metal1,662.2000,901.6000,0.000291
FILLER_226_1157,VSS,Metal1,655.3800,901.9485,0.000292
FILLER_226_1081,VSS,Metal1,612.8200,901.9485,0.000310
FILLER_226_1065,VSS,Metal1,604.8530,902.0615,0.000310
FILLER_226_1035,VSS,Metal1,586.6000,901.6000,0.000334
FILLER_226_1031,VSS,Metal1,584.8200,901.9485,0.000334
FILLER_226_1017,VSS,Metal1,576.5200,901.6000,0.000334
FILLER_226_1013,VSS,Metal1,574.5600,901.6000,0.000340
FILLER_226_1005,VSS,Metal1,571.2530,902.0615,0.000340
FILLER_226_960,VSS,Metal1,546.0530,902.0615,0.000343
FILLER_226_944,VSS,Metal1,535.6400,901.6000,0.000345
FILLER_226_928,VSS,Metal1,530.2720,902.1480,0.000345
FILLER_226_898,VSS,Metal1,509.8800,901.6000,0.000346
FILLER_226_896,VSS,Metal1,509.0400,901.6000,0.000346
FILLER_226_887,VSS,Metal1,503.7200,901.6000,0.000346
FILLER_226_885,VSS,Metal1,502.8800,901.6000,0.000346
FILLER_226_877,VSS,Metal1,499.5730,902.0615,0.000346
FILLER_226_871,VSS,Metal1,495.2200,901.9485,0.000347
FILLER_226_807,VSS,Metal1,475.8445,902.2375,0.000347
FILLER_226_804,VSS,Metal1,457.2400,901.6000,0.000349
FILLER_226_802,VSS,Metal1,456.4000,901.6000,0.000384
FILLER_226_741,VSS,Metal1,421.9600,901.6000,0.000397
FILLER_226_737,VSS,Metal1,420.1800,901.9485,0.000397
FILLER_226_696,VSS,Metal1,397.0400,901.6000,0.000413
FILLER_226_658,VSS,Metal1,375.4800,901.6000,0.000357
FILLER_226_656,VSS,Metal1,374.6400,901.6000,0.000357
FILLER_226_605,VSS,Metal1,347.2530,902.0615,0.000348
